timestamp,value
2026-04-09 13:09:17,0
2026-04-09 13:09:19,144
2026-04-09 13:09:21,312
2026-04-09 13:09:23,534
2026-04-09 13:09:25,925
2026-04-09 13:09:27,1023
2026-04-09 13:16:48,500.0
2026-04-09 13:16:50,500.0
2026-04-09 13:16:52,500.0
2026-04-09 13:16:54,500.0
2026-04-09 13:16:56,476.54
2026-04-09 13:16:58,251.22
2026-04-09 13:17:00,0.0
2026-04-09 13:17:02,24.44
2026-04-09 13:17:04,36.17
2026-04-09 13:17:06,40.57
2026-04-09 13:17:08,40.57
2026-04-09 13:17:10,29.33
2026-04-09 13:17:12,32.75
2026-04-09 13:17:14,34.7
2026-04-09 13:17:16,34.7
2026-04-09 13:17:18,34.7
2026-04-09 13:17:20,34.21
2026-04-09 13:17:22,34.21
2026-04-09 13:17:24,80.16
2026-04-09 13:17:26,80.16
